topic,body
crude,"Exxon Corp said in its annual report that it raised production in 1986 although it did not replace all oil and gas produced.     The company said that it added about four pct to production bringing it to 1.8 mln bpd, the highest level since 1979, based largely on increased production of oil overseas but additions to its reserves from new discoveries and reserve acquisitions did not replace all of the oil and gas produced.     The company said that the average price for oil and gas declined 41 pct in 1986 from the previous year sparking a 38 pct decline in its earnings from exploration and production.     Exxon's earnings from exploration and production in 1986 fell to 3.1 billion dlrs from 4.9 billion dlrs in 1985.     Exxon said that its principal gains in production came from the Gulf of Mexico, Alaska, the North Sea, Malaysia and from oil sands in Canada.     Exxon also said that it acquired 11.2 mln acres for expoloration spread over 10 countries including the U.S, Europe and the Far East.     But capital expenditures for exploration and production were cut to 4.6 billion dlrs from 7.6 billion the previous year and further reductions were expected in 1987.     Exxon said that its net share of crude oil and natural gas liquids produced from offshore fields in the North Sea reached a new high of 422,000 bpd.     The light, sweet crudes produced from these North Sea fields also gave the company trading gains as Exxon was able to sell much of this crude and replace it with cheaper, lower quality crude oil for its refineries which have been upgraded over the past several years.     The trading gains and lower acquisition costs gave Exxon more of a spread in its refinery operations and added to earnings gains from refining and marketing.     Exxon said earnings from refining and marketing operations rose to nearly two billion dlrs in 1986, up from 872 mln dlrs in 1985.     The company said petroleum sales slipped slightly to 4.043 mln barrels per day from 4.082 mln bpd in 1985 while crude runs rose to 3.0 mln bpd from 2.9 mln bpd the previous year.     Exxon's refinery operations benefited from a three year 500 mln dlr upgrading program to its Baytown, Texas refinery completed last October and an 850 mln dlr upgrading project in Rotterdam both of which emphasize utilizing lower grade crudes to extract higher proportions of light products.  Reuter "
trade,"China's application to join the General Agreement on Tariffs and Trade (GATT) is seen as a test case by the Soviet Union, which will probably demand to follow China, a top European Community official said.     Willy de Clercq, External Relations Commissioner of the European Communities, told a news conference that China's application would involve long and difficult negotiations.     China formally applied to join GATT in July 1986 and in February presented a memorandum backing its application, which De Clercq said was now being studied. Questions would then be presented to China.     ""After China, other important state-trading countries including the Soviet Union, will probably demand accession. China's application could be considered a test case,"" he said.     He said the EC strongly backed China's application, but others among GATT's 92 contracting parties took a tougher line.     Among the numerous problems of a huge centrally-run economy entering a free trade system are tariffs and reciprocity and the expectation that China will practice an open-trade policy without trade discrimination, de Clercq added.     De Clercq noted the different dimensions of the Chinese economy and those of Hungary and Yugoslavia, the two current Socialist GATT members.     On China's import potential, he said a foreign exchange shortage would force China to import less this year and next than in the past, with an emphasis on technological equipment and capital.     During his visit, De Clercq has met top Chinese leaders and today signed an agreement to open a European Community Commission office in Peking.  REUTER "
gnp,"Commerce Secretary Malcolm Baldrige said a 0.7 pct rise in February's index of leading indicators pointed to stronger economic growth in the first half of 1987.     In a statement commenting on the rise last month after a 0.5 pct January decline, Baldrige noted the leading index was rising at an 8.0 pct annual rate in the six months to the end of February.     ""Based on past relationships, that gain is consistent with stepped up growth in real GNP during the first half of 1987,"" Baldrige said.  Reuter "
trade,"The Senate's Democratic and  Republican leaders praised President Reagan for retaliating against Japan for violating a semiconducter accord but dashed cold water on ideas it was the first shot in a trade war.     Senate Democratic Leader Robert Byrd and Republican leader Bob Dole both told the Senate Reagan's decision was long overdue and urged Japan to open its markets to U.S. goods and stop dumping on world markets.     Each noted in separate speeches that they saw no trade war over the issue, despite concerns in financial markets.     ""That fear has no basis in fact,"" Byrd said.  Reuter "
coffee,"Guatemala will host a meeting of other milds coffee producers probably in May to discuss basic export quotas, the Guatemalan delegate to the International Coffee Organization, ICO, said.     No firm date has been set for the talks, Ambassador Rene Montes told reporters at the ICO executive board meeting here.     Producer countries Brazil, Colombia, and a member of OAMCAF, the African and Malagasy Coffee Organization, may also be invited for consultation, he said.     ICO producers and consumers could not agree on how to calculate export quota shares at a recent council meeting here.     Other milds coffee producers include Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, India, Mexico, Nicaragua, Papua New Guinea, and Peru.  Reuter "
grain,"Rep. Pat Roberts, R-Kan., predicted the Reagan administration within the next ten days to two weeks will offer subsidized wheat to the Soviet Union under the Export Enhancement Program, EEP.     Roberts made the comment at a press conference held by Republican members of the House Agriculture Committee.     He did not say on what he based the comment, but an aide said Roberts had been in touch with top Republican officials recently.     The possibility of an expansion of EEP to include wheat to Moscow has been rumored for some time, and some industry sources believe a decision on the issue will be made by the Reagan administration before Secretary of State George Shultz goes to Moscow in April.  Reuter "
ship,"The St Lawrence Seaway said the first ship of the season passed through the St Lambert lock here this morning, officially opening the 2,300-mile-long waterway's 1987 shipping season.     The seaway has said it expects little increase in freight levels this year from last year when it moved 37.6 mln tonnes of freight between Montreal and Lake Ontario and 41.6 mln tonnes on the Welland Canal, which links Lake Erie and Lake Ontario. The canal is scheduled to open tomorrow.     Officials expect the waterway to lose nine to ten mln Canadian dlrs this year, about the same as the estimated deficit for fiscal 1986-87, which ends today.  Reuter "
sugar,"A plan by European producers to sell 854,000 tonnes of sugar to European Community intervention stocks still stands, Andrea Minguzzi, an official at French sugar producer Beghin-Say, said.     Last week Beghin-Say president Jean-Marc Vernes said a possible settlement of a row with the EC would lead producers to withdraw their offer, which was made as a protest against EC export licensing policies.     The EC policy is to offer export rebates, which fail to give producers an equivalent price to that which they would get by offering sugar into intervention stocks, Vernes said.     But Minguzzi said the offer was a commercial affair and that producers had no intention of withdrawing the sugar offer already lodged with intervention boards of different European countries. He said final quality approval for all the sugar offered could come later this week. Some 95 pct had already cleared quality specifications.     The EC can only reject an offer to sell into intervention stocks on quality grounds. Minguzzi added that under EC regulations, the Community has until early May to pay for the sugar. He declined to put an exact figure on the amount of sugar offered by Beghin-Say, but said it was below 500,000 tonnes.  Reuter "
trade,"U.S. Trade Representative Clayton Yeutter said the stock market overreacted to a U.S. decision last week to proceed with tariffs on some Japanese computer products.     Speaking to reporters prior to testifying at a House Agriculture Committee hearing, Yeutter said it is ""difficult to comprehend"" that a trade decision affecting only 300 mln dlrs in goods caused the stock market collapse yesterday.     ""I have a hunch a lot of other things were involved in that (stock market fall), including simple profit-taking,"" Yeutter said.     Yeutter said Japan would be sending a senior official from its trade ministry to Washington next week for talks on the computer chip dispute.     ""We will be glad to have him here, but that's not going to affect a decision that's already been made,"" Yeutter said.     The decision announced last week would apply higher tariffs on a range of Japanese products in retaliation for the alleged failure of Tokyo to honor an agreement with the U.S. on semiconductor trade.  Reuter "
grain,"Unfavorable late winter weather conditions in the main wheat growing areas of Yugoslavia indicate dimmed prospects for the emerging winter wheat crop, the U.S. embassy's agricultural officer in Belgrade said.     The officer, who travelled through an area from Belgrade to Subotica, said in a field report dated March 27 the wheat crop had been set back at least three weeks because of a cold spell that followed a period of warm weather.     He said unseasonably warm weather in late February that brought the wheat crop out of winter dormancy early was followed by three weeks of unusually cold weather.     Damaging effects were seen in the fields, most of which show stands with a yellow-brown cast indicating extensive leaf and possible root damage from repeated freezings, he said.     The report said that since much of the early growth in February was from late seeding rather than from normal development, his view was that the damage may be more extensive than some local observers say.     The most seriously affected fields were late-seeded fields on normal maize soils. Stands in these fields were thin and chances of recovery appeared less favorable, he said.     However, he said soil moisture conditions were favorable and many of the fields had already been top-dressed, which would aid recovery.  Reuter "
trade,"The Japanese ambassador to the U.S. Suggested that Prime Minister Yasuhiro Nakasone make efforts to present ""advanced' proposals on trade issues when he visits Washington next month.     Ambassador Nobuo Matsunaga made the recommendation at a meeting with Nakasone, Kyodo News Service said.     Matsunaga also advised that the prime minister should be prepared to discuss U.S.-Japan economic issues.     Matsunaga cited issues such as a U.S.-Japan micro chip trade pact, foreign access to the Kansai international airport project, and a new international telecommunications firm.     Matsunaga returned on Sunday to report to Japanese leaders on recent U.S. Developments over trade, in preparation for Nakasone's visit to Washington, April 29 to May 5.     Kyodo quoted Nakasone as telling reporters after meeting the envoy, ""I entirely accept what ambassador Matsunaga recommended."" Nakasone did not elaborate.     The U.S.-Japan trade dispute intensified last week when President Ronald Reagan said the U.S. Would impose heavy tariffs on Japanese imports in retaliation against alleged Japanese breach of the computer chip trade pact.     Meanwhile, Nakasone's ruling Liberal Democratic Party (LDP) is to consider measures to boost imports and open up the Japanese market, such as government purchase of supercomputers and expanding foreign access to the Kansai airport project, party sources said.     The LDP international economic affairs council was responding to Nakasone's request for measures to reduce Japan's increasing trade surpluses with the U.S. And Europe, they said.  REUTER "
grain,"U.S. Agriculture Secretary Richard Lyng declined to confirm statements made today by a farm state congressman that the United States will offer subsidized wheat to the Soviet Union within the next 10 days to two weeks.     When asked to clarify comments by Rep. Pat Roberts of Kansas that the administration would soon offer Export Enhancement wheat to the Soviet Union Lyng said, ""well it won't be today,"" and then added, ""we have no official comment one way or the other.""     Lyng would not comment on whether a wheat subsidy offer to the USSR is under more active consideration at the USDA, saying that any remarks by him would be tantamount to an official announcement and could be construed inappropriately.  Reuter "
crude,"Chevron Corp said its Chevron U.S.A. Inc unit and Tokyo-based Nippon Oil Co Ltd agreed to conduct a joint-venture oil exploration and development program on selected Chevron leaseholds in the United States.     About 50 onshore and offshore exploratory wells will be drilled under the agreement and Chevron will be the operator of the project and pay some costs, the company said.     It said Nippon will contribute an initial investment of more than 100 mln dlrs.     The Japanese government will also participate in the venture by providing financing to Nippon through the Japanese Oil Corp, Chevron said.     It said drilling will begin during the second quarter.     Properties to be evaluated are located in California, Colorado, Kansas, Oklahoma, Mississippi, Montana, North Dakota, Texas, Utah, and Wyoming, along with Federal Outer Continental Shelf leases offshore Southern California and in the Gulf of Mexico, Chevron said.  Reuter "
gas,"A new grade of unleaded gasoline now being test marketed will increase refining costs when refiners can least afford it, according to officials attending the National Petroleum Refiners Association conference here.     The new grade of unleaded gasoline has an octane level of 89 compared with over 90 for super unleaded and 87 for regular unleaded gasoline.      Amoco Corp AN> has test-marketed the new mid-grade gasoline and hopes to sell it on a regular basis in the South, East and Midwest by the beginning of June, according to Paul Collier, executive vice president of marketing.     Phillips Petroleum P> expects to begin marketing the new 89 octane unleaded gasoline in May, sources said.     Converting current refinery operations to produce the 89 octane unleaded gsoline could cost hundreds of millions of dollars per refinery but that depends on the present capacity and intensity of the refinery, said Amoco's Collier.     But not all oil company's welcome the introduction of another grade of unleaded gasoline.     ""Three grades are not warranted,"" said Henry Rosenberg, chairman of Crown Central Petroleum CNP>. ""Refiners will have to upgrade again,"" he added.     ""An investment will have to be made,"" said Archie Dunham, executive vice president of petroleum products at Conoco, an operating subsidiary of DuPont Corp DD> in order to upgrade refinery operations.  Reuter "
grain,"Tunisia is expected to tender shortly for 100,000 tonnes of soft wheat for shipment between April and June, covered by COFACE export credits, trade sources said.     Over 300,000 tonnes of French soft wheat have been sold to Tunisia since the beginning of the 1986/87 campaign, of which 225,000 to 250,000 tonnes have already been shipped, they said.  Reuter "
interest,"The Federal Reserve entered the U.S. Government securities market to arrange 1.5 billion dlrs of customer repurchase agreements, a Fed spokesman said.     Dealers said Federal funds were trading at 6-3/8 pct when the Fed began its temporary and indirect supply of reserves to the banking system.  Reuter "
grain,"Shifts from mild to very cold weather in East Germany damaged winter barley and late sown winter wheat in central regions and barley north of Berlin, the U.S. agricultural officer in East Berlin said.     In a field report, the officer said indications were that winter kill might well be more than 100,000 hectares compared with 38,000 last year.     He said the damage was probably more limited in southern and central regions and most widespread in the north.     Damage was most severe on plants above the ground where little or no snow cover was present, he added.     The officer said heavy frosts at night followed by sunshine during the day led to some heaving, particularly for well developed plants and for winter barley.     Furthermore, as the ground surface thawed, some standing water occurred in the fields.     The officer said repairing damage will probably call for special measures this spring in fields with damaged plants and where stands are thin. Harrowing, as well as well-timed applications of nitrogen, will be necessary, he added.  Reuter "
grain,"Grain trade analysts expect a sharp drop in corn acreage, with most expecting a more modest decline in soybeans, in the U.S. Agriculture Department, USDA, plantings intentions report due out at 1500 est (2100 gmt).     The average trade guess for 1987 planted corn acreage was 66.06 mln acres, ranging from 60.7 to 69.0 mln, all well below the 76.67 mln planted last year due to improved incentives by the USDA for farmers to retire acres. Corn acres totalled only 60.22 mln in 1983, when the PIK program was introduced.     The average soybean planted acreage quesstimate was 59.49 mln, ranging from 58.0 to 63.0 mln and compared with the 61.48 mln planted in 1986     With substantial grain stocks, less interest was expressed among analysts in the USDA stocks report also scheduled today.  Reuter "
crude,"Treasury Secretary James Baker told the House Appropriations Committee that he believes the president remains opposed to an oil import fee.     He said Reagan last year rejected the idea and he added:     ""In my personal view he is not likely to change his thinking on that.""     He said Reagan last year opposed the idea because the energy industry was divided on the issue, a tax would require a new bureacracy to administer and the resulting higher energy prices would harm U.S. competitiveness.  Reuter "
grain,"Syria may have bought 80,000 tonnes of French soft wheat, some traders here said.     But others said it may instead have given payment guarantees to allow for the shipping of an old contract to go ahead.     Syria has bought around 320,000 tonnes of soft French wheat since the beginning of the 1986/87 campaign, of which only 121,000 tonnes had been exported by the end of last month.     The country also bought around 30,000 tonnes of EC soft wheat 12 days ago at 80 to 81 dlrs a tonne, fob, they said.  Reuter "
trade,"Treasury secretary James Baker predicted the U.S. trade deficit would decline 15-20 billion dlrs this year.     However, he acknowledged signs were still lacking on such a decline.     ""We think we are beginning to see changes,"" he told the House Appropriations Committee.     ""It has begun to level off (but) we don't see it beginning to go down yet,"" he told the panel.  Reuter "
crude,"Treasury Secretary James Baker and Office of Management and Budget chief James Miller defended an administration plan to sell the U.S. Naval Petroleum Reserves.     In response to hostile questioning from a member of the House Appropriations Committee, the officials said the plan was justified to help bring the fiscal 1988 budget deficit and to get the government out of the oil business.     Miller acknowleged the estimated sale proceeds at 3.3 billion dlrs would actually bring down the deficit by about 2.2 billion dlrs because of the loss of revenues from the sale of oil from the reserves.     Miller said the sale price may end up higher.     ""We'd sell it to the highest bidder,"" Miller said.     ""If we can get more we'll take it.""  Reuter "
trade,"Treasury Secretary James Baker, asked whether he was concerned about yesterdays precipitous decline in bond prices, said he was not.     Questioned by reporters as he left a House committee hearing, Baker said ""no,"" when asked about the bond decline, adding that it was a reflection of concern about the possibility of a trade war.     ""It is what the markets think would be the adverse consequences of a trade war.""     He said the administration was concerned that protectionism would lead to international trade problems adding that he thought the action against the Japanese was still consistent with this policy.  Reuter "
trade,"The United States and Japan are not involved in a trade war, despite U.S. sanctions announced last week against Japanese semiconductors, U.S. Trade Representative Clayton Yeutter said.     ""In my judgement, we're not even close to a trade war,"" Yeutter told a House Agriculture Committee hearing.     Yeutter said if Japan takes action to honor its agreement with the U.S. on semiconductor trade, ""Then the retaliatory response will last a relatively short period.""     Yeutter said Japan must stop dumping chips in third countries and buy more American computer chips.  Reuter "
coffee,"The Coffee, Sugar and Cocoa Exchange amended regulations governing expanded trading limits on coffee, cocoa and sugar contracts to provide uniformity.     Effective today, the exchange will permit normal daily price limits in those commodities to expand whenever the first two limited contract months move the limit in the same direction for two consecutive sessions.     The normal daily limits will be reinstated once the first two limited deliveries close by less than the normal limit for two successive trading days.     Previously exchange rules required the first three limited months to move the limit in coffee and cocoa. It had required the first two limited sugar deliveries to make such moves for three consecutive sessions.  reuter "
trade,"French Prime Minister Jacques Chirac opened talks with President Ronald Reagan expected to focus on superpower arms control moves and trade issues.     French officials said a major aim of Chirac's visit was to present France's concern that the United States might ignore European security interests in any accord with Moscow on removing medium-range nuclear missiles from the continent.     But Reagan was expected to assure Chirac that he will not agree to a deal at the Geneva superpower talks that would give the Russians superiority in shorter-range systems, diplomats said.     France has expressed doubts about removing U.S. missiles from Europe so long as the Soviet Union maintains an edge in other weaponry, particularly shorter-range rockets, conventional forces and chemical weapons.     Speaking last night, Chirac set out the French position saying: ""Any agreement on intermediate nuclear forces should mention how equality can be achieved in short-range missiles.""     Reagan and Chirac meanwhile signed an agreement ending a dispute between two leading research institutes over patent rights to a blood screening test for the deadly disease AIDS.     In a joint statement, Chirac and Reagan said the Pasteur Institute in Paris and the National Cancer Institute, of Bethesda, Maryland, agreed to give part of the royalties from the test to a new foundation dedicated to the wordwide fight against AIDS (Acquired Immune Deficiency Syndrome).     ""This agreement opens a new era in Franco-American cooperation, allowing France and the United States to join their efforts to control this terrible disease in the hopes of speeding the development of an AIDS vaccine and cure,"" Reagan said at the signing ceremony.      He said the two parties would share the patent and give 80 per cent of the royalties received to the new foundation.     The foundation would also raise private funds and would donate 25 per cent of its money to combat AIDS in less developed countries.      Both leaders stressed the long ties between France and the United States during a welcoming ceremony in the White House East Room, with Reagan describing France as ""America's oldest ally in war and peace.""      ""I have come to tell you that we are remain motivated by the same ideals of freedom, by the same will to face the dangers which we both confront -- terrorism, war, hunger, poverty, new diseases and drugs,"" Chirac replied.     But the two countries are likely to have less to agree on over the issue of trade, where Chirac is worried about a rise in protectionism in the U.S. Congress.      A senior U.S. official yesterday dismissed a French idea to sell cut-price grain to poor countries in Africa as a way of lessening surplus stocks.     Chirac is expected to canvass support for the idea, first proposed by French Agriculture Minister Francois Guillaume, during his two-day visit to Washington.     The U.S. official described the idea as a ""grain producers' OPEC"" -- a reference to the Organization of Petroleum Exporting Countries -- and said it went against the Reagan administration's desire to lessen government intervention in trade.  Reuter "
crude,"Tonight's American Petroleum Institute weekly inventory report is expected to show moderate drawdowns in distillates and gasoline stocks for the week ended March 27, analysts and traders said.     They said they expect gasoline stocks to fall three mln barrels or less and heating oil inventories to drop between 1.3 and four mln barrels.     Some analysts see crude stocks falling by as much as six mln barrels, while others think they could go up as much as 3.5 mln barrels. Crude oil runs are expected to be unchanged from the previous week or slightly higher or lower.     For the week ended March 20, the API said gasoline stocks fell 2.7 mln barrels. Mosts analysts expect a modest draw for the week ended March 27. They said stocks could fall between 700,000 and three mln barrels. Some said there is also a chance gasoline stocks will be unchanged.     API said distillate stocks dropped four mln barrels for the week ended March 20. Analysts and traders generally predict a similar or smaller depletion for last week. They said stock levels could drop 1.3 to four mln barrels.     The analysts attribute product stockdraws to seasonal factors but they said crude direction is harder to call.     Crude inventories rose 8.5 mln barrels in the week ended March 20, API said. Analysts are looking for build of between 3.5 mln barrels to a six mln barrel draw for the week ended March 27.     API reported the amount of refinery capacity utilized up three pct for the week ended March 20. Analysts said utilization could have remained unchanged, or rose or fell by less than one pct for the week ended March 27.     Moderate product stockdraws would strengthen the market slightly, analysts said. But bullish expectations are already partially reflected in today's gains, they added.  Reuter "
trade,"The threatened trade war between the United States and Japan is just the kind of shock that economists say could send world stock markets into a tailspin.     But they are not so sure if that would be a brief corrective dip, or whether this week's falling share prices mark the start of a ""bear"" market.     ""It's the billion dollar question,"" said Richard O'Brien, economist at American Express International Bank in London.     Japan's trade surplus -- 92.7 billion dlrs last year -- has poured into share and bond markets around the world, and funded a good chunk of the huge U.S. Budget deficit. Around a third of any new sale of U.S. Treasury bonds has been bought by the Japanese. However, Japanese investors have lost money as the dollar falls and will lose more if the United States lets it fall further to cut the trade deficit. The counterpart of improving the trade deficit either through a lower dollar or because the U.S. Increases duties on Japanese electronic goods, may be to hit the capital inflow which has financed the budget deficit.    And if the U.S. Trade deficit does fall, the Japanese will have less money to invest. To entice U.S. Investors to fill the gap that would be left if the Japanese stopped buying U.S. Bonds, interest rates would have to soar, O'Brien said. The subsequent shift from shares to bonds could cause major falls on the world stock markets.     ""A year ago, we could be pretty confident about the markets,"" said O'Brien. ""Now, it is much less certain.""     Buoyant share prices are supposed to reflect a booming economy. But the world economy, with sluggish growth at best in the industrial nations, a massive load of Third World debt and huge trade imbalances is not in good shape, said O'Brien.     Nevertheless, New York analyst William Raferty, of Smith Barney Harris Upham said  ""We're still in a bull market,"" adding that corrections are a normal part of a rising market and ""The bear usually strikes slowly.""     Economist Evelyn Brody, at Morgan Grenfell and Co in London, said the huge sums of money going through the world financial system will keep a floor under share and bond prices.     Although interest by the Japanese in putting their money in non-dollar denominated bonds and stocks has increased it's very difficult to see where else they can put their money than in U.S. Dollars and especially the U.S. Treasury (bond) market, according to David Butcher, a senior executive at Yamaichi Securities Co Ltd's bond operation in London.     He said the Japanese are paying much closer attention now to the French franc and West German mark.     In the longer run, he worries about what trade tensions and the dollar's slide will mean for securities markets.  REUTER "
grain,"Moderate to heavy rain continued over early double-crop rice areas in eastern Guangxi, Guanghdong, eastern Hunan, Jiangxi, Fujian, and Zhejiang in the week ended March 28, the Joint Agricultural Weather Facility of the U.S. Agriculture and Commerce Departments said.     In its International Weather and Crop summary, the agency said The moisture lessened the need for irrigation. Moisture for early rice planting is adequate to abundant in most areas, and inundative rain in Guangdong and southern Jiangxi may have washed out some rice fields requiring replanting.      Light showers in southern Sichuan increased topsoil moisture for corn planting, which likely is off to a slow start due to earlier dryness, it said.     In the North China Plain, dry weather covered winter wheat in the vegetative stage, and rain is needed to meet increasing crop moisture requirements, it said.     Weekly temperatures in the North China Plain were near normal, the agency noted.  Reuter "
oilseed,"The outcome of negotiations on proposals by the European Commission for a 330 Ecus a tonne tax on EC-produced and imported oilseeds and marine oils remains difficult to predict, Belgian agriculture minister Paul de Keersmaeker told a news conference.     De Keersmaeker, who chaired a meeting of EC farm ministers which ended today, was asked about reports enough countries were against the tax to ensure that it would be defeated in negotiations on the EC farm price package for 1987/88.     He said it was true some countries were strongly opposed, but others were less so and others basically in favour.     ""I think there is room for negotiations, and I would not want to make any predictions at this stage,"" de Keersmaeker said.     Yesterday, British minister Michael Jopling said Britain, West Germany, Portugal, the Netherlands and Denmark were opposed to the measure. Between them these countries have more than enough voting power to block it.     Diplomatic sources said at today's meeting the Spanish delegation also expressed strong reservations about the idea.  Reuter "
trade,"President Reagan has reaffirmed his opposition to protectionism and his chief spokesman said trade sanctions imposed on Japan were unlikely to start a trade war.     ""We don't want to go down that road,"" Reagan was quoted as telling Prime Minister Jacques Chirac after the visiting French official expressed concern about the rising tide of protectionist sentiment in the United States.     Later, White House spokesman Marlin Fitzwater defended the new sanctions against Japan and said administration officials ""do not believe this will result in a trade war.""     ""It is the first time that the United States has taken an action of this type and it is significant but it is nothing to be alarmed about,"" the presidential spokesman added.     ""We do not want protectionism ... We do not want a trade war,"" he said.     Fitzwater said the president was forced to act in the Japanese microchip case because Tokyo had failed to fulfill ""an agreement to make some corrections.""     Noting that there are ""enormous pressures in the Congress and the land"" for the United States to take a tough stand, he said, ""This was a case where we felt we simply had to act.""     Fitzwater said the decision to impose sanctions was ""well considered by this administration and not taken lightly.""     While the White House official held open the possibility that Washington and Tokyo will settle their trade dispute, he indicated a settlement probably would not come in time to head off the sanctions.     ""We are always open to negotations ... Whether it (a settlement) could occur in time to prevent this (the sanctions) from going into effect is questionable at this point,"" the spokesman said.     The sanctions take effect in mid-April.  REUTER "
trade,"Commerce Secretary Malcolm Baldrige said the United States would go ahead with planned 300 mln dlr sanctions against Japanese semiconductor exports, despite any U.S. Japanese talks to avert the trade curbs.     He said in a speech to an export-import group that he was sure the United States and Japan could work out their dispute over unfair Japanese trade practices in semiconductor trade, but ""I am sure the sanctions will go in before we work it out.""     Sanctions are to be imposed on April 17.     He also said he did not think there would be a trade war with Japan, because Japan had too much value in exports to the United States to risk such a war.     ""Those fears are unfounded,"" he said.     He told reporters later that the sharp drop in the securities market was not due to fears of a trade war, but fear of inflation and that the Federal Reserve may act on that fact.     Market reaction was also due, he said, to the drop in the value of the dollar, although trade issues did have some effect.     Baldrige said that observers who were attributing the drop in the market to trade sanctions were ""barking up the wrong tree.""     He said the market observers will realize this shortly.     Baldrige said his remarks did not mean to suggest anything about the market or the exchange rate of the dollar.  Reuter "
trade,"Undersecretary of State Michael Armacost will visit Tokyo next week for meetings with high-level officials that will include discussions of a growing trade row over Japanese semiconductor electronics products.     He is the first high-level U.S. official to visit Japan since President Reagan announced last week plans to impose tariffs worth up to 30 mln dls on Japanese electronic goods on April 17 in retaliation for Tokyo's alleged failure to live up to a pact on microchip trade signed last September.     The trip is set for April 6-8, the state department said.      Reuter "
crude,"Union Pacific Corp said it has closed the previously announced 50-50 partnership with Petroleos de Venezuela SA, Venezuela's national oil company, to own a 160,000 barrel per day refinery in Corpus Christi, Texas.     Union Pacific said the partnership, called Champlin Refining Co, will acquire the refining and distribution system owned and operated by Union Pacific's Champlin Petroleum Co subsidiary. The Venezuelan company also signed a 25-year feedstock agreement with the partnership to supply at least 140,000 barrels a day of Venezuelan crude oil and naphtha at market related prices.  Reuter "
trade,"Republican members of the House Agriculture Committee said they will propose amendments tomorrow to a pending trade bill increasing funding for the export enhancement program, EEP, and significantly expanding the scope of the program.     At a press conference, Republican lawmakers said they would propose expanding EEP to include all countries ""willing to purchase additional commodities at reasonable prices.""     In addition, the Congressmen said they would propose extending the life of EEP to five years from the current three years and increasing the EEP funding ceiling to 2.5 billion dlrs from 1.5 billion at present.     The Agriculture committee tomorrow will begin drafting amendments to an omnibus trade bill now before the House.     Responding to the Republican plan, Agriculture Secretary Richard Lyng and Trade Representative Clayton Yeutter said they favor a flexible, targeted use of EEP instead of an across-the-board program which they termed too costly.     The Republican Congressmen also said they will offer an amendment to the trade bill instructing the U.S. Agriculture Department to value the bonus commodities used for EEP at the market value, rather than the cost of acquisition.     But Lyng said USDA already plans to change to market value accounting rather than acquisition value, in order to avoid hitting a funding ceiling for eep of 1.5 billion dlrs.     Lyng said under market value accounting only about 700 mln dlrs of EEP commodities have been used to date. Using acquisition value, USDA officials said the value is higher.  Reuter "
trade,"Undersecretary of State Michael Armacost will visit Tokyo next week for meetings with high-level officials that will include talks on the growing trade row over Japanese semiconductor electronics products.     He is the first high-level U.S. official to visit Japan since President Reagan announced last week plans to impose tariffs worth up to 30 mln dlrs on Japanese electronic goods on April 17 in retaliation for Tokyo's alleged failure to live up to a pact on microchip trade signed last September.     Deputy State Department spokeswoman Phyllis Oakley said the trip is set for April 6 to 8.     U.S.-Japanese talks of this kind are regularly held each year at this time, she told reporters.     The Armacost discussions with Deputy Foreign Minister Ryohei Murata and other senior Japanese officials will focus on U.S.-Japanese foreign aid programs and political security issues of mutual concern, she added.     ""Although an exchange of views on bilateral relations is expected, the talks are not directly related to U.S.-Japanese trade relations,"" she insisted.     But, in response to questions, Oakley acknowledged that trade will be discussed.    Japan's 58.6 billion dlrs trade surplus with the United States last year has come under fire in Congress, which is concerned about the loss of jobs to foreign competition and with the record 169 billion dlrs U.S. Trade deficit in 1986.  Reuter "
ship,"The U.S. Agriculture Department said it will begin charging interest tomorrow on the over 12 mln dlrs the Department of Transportation, DOT, owes USDA to pay for its share of the cost of shipping food aid on U.S. vessels.     USDA General Sales Manager Melvin Sims told the Senate Appropriations Agriculture Subcommittee his department had billed DOT 12 mln dlrs, and that interest on that amount and an additional charge would begin accruing April 1.     USDA's Foreign Agricultural Service Administrator Thomas Kay told Reuters DOT could owe USDA as much as 20 mln dlrs.     The two departments are trying to hammer out an accord on how to fund the increasing share of food aid required to be shipped on U.S. flag vessels under a 1985 farm bill provision on cargo preference.     Sims said the agencies were near to reaching a memorandum of understanding governing how DOT would pay for its share of the cargo preference costs.     Under the 1985 bill, the percentage of food aid shipments carried on U.S. vessels was to increase gradually over three years to 75 pct in 1988 from 50 pct.     Although the increased cost was to be funded by DOT, Sims said that department to date has contributed no money.  Reuter "
gold,"Echo Bay Mines Ltd said it discovered a gold deposit in the Cove area near its McCoy gold mine in Nevada.     Echo Bay said it encountered gold in 39 of 42 drill holes at Cove. It said seven holes averaged 0.185 ounce gold a short ton and 1.8 ounces of silver, with the seven intersections averaging 118 feet in thickness beneath 25 feet of overburden.     The discovery is on the McCoy property, one mile northeast of the McCoy open pit, heap leach gold mine, which is expected to produce about 85,000 ounces of gold this year, Echo Bay said.  Reuter "
crude,"Devon Resource Investors said as of January one, its estimated proven reserves increased by 443,000 net equivalent barrels to 32.4 billion cubic feet of natural gas and 660,000 barrels of oil, compared with 29.5 bcf of gas and 700,500 barrels of oil as of Jan one, 1986.     Devon said that its estimated future net revenues attributable to reserves is about 58 mln dlrs with a present value, discounted at 10 pct, of 38 mln dlrs.     It also said that it expects to have sufficient cash flow to cover its annual payout of 60 ct per unit and expand its drilling budget in 1987.  Reuter "
